,cluster_id,Amplitude,ContamPct,group,KSLabel,firing_rate,presence_ratio,isi_viol,amplitude_cutoff,isolation_distance,d_prime,nn_hit_rate,nn_miss_rate,cumulative_drift,syncSpike_2,syncSpike_4,syncSpike_8,syncSpike_16,n_spike,is_noise,category
0,0,2729.5,0.0,1,1,0.0369034661805501,0.49,0.0,0.5,95.3663654675002,7.27195026811819,0.817152103559871,0.0046627186712953,34.31,0.0737704918032787,0.0081967213114754,0.0,0,244.0,1,noise
1,1,2569.1,100.0,1,0,0.009982085114411,0.24,0.0,0.5,28.8331691761644,6.89794933303938,0.484848484848485,0.0036534271828389,0.0,0.0606060606060606,0.0,0.0,0,66.0,1,noise
2,2,1770.3,100.0,0,1,0.0124019845360865,0.42,0.0,0.5,30.8211518788991,5.88268719057513,0.647342995169082,0.0012419024603094,0.0,0.0853658536585366,0.0,0.0,0,82.0,1,noise
3,3,1251.3,126.9,1,1,0.163948185818509,0.65,246.753964470804,0.0213239032183135,53.9260317437859,4.51008165190805,0.707762557077626,0.0,0.0,0.236162361623616,0.0590405904059041,0.0027675276752767,0,1084.0,1,noise
4,4,3219.2,0.0,0,1,0.043255702162448,0.72,0.0,0.5,60.0002600055498,6.34324140359247,0.992380952380952,0.0005428329092451,0.0,0.0769230769230769,0.0034965034965035,0.0,0,286.0,1,noise
5,5,2739.9,100.0,0,0,0.0034786054186584,0.23,0.0,0.5,68327003718993.5,4.25543811115527,0.707762557077626,0.0,0.0,0.0869565217391304,0.0,0.0,0,23.0,1,noise
6,6,4066.7,100.0,1,1,0.0001512437138547,0.01,0.0,0.0,53.9260317437859,11.4733480817052,0.707762557077626,0.0,0.0,0.0,0.0,0.0,0,1.0,1,noise
7,7,996.0,129.9,1,1,0.682260393198612,0.99,21.3122467706401,0.5,58.2550833866692,4.37237739078231,0.87378640776699,0.0011451281533124,902.01,0.090888938151186,0.0130791398802926,0.0002216803369541,0,4511.0,1,noise
8,8,4643.7,0.0,0,0,1.63781817733269,0.99,0.0,0.0070423276822276,126.702434527829,8.49496059011922,0.995867768595041,0.0001366400218624,201.09,0.0584541508911257,0.004894265398467,9.23446301597562e-05,0,10829.0,0,SUA
9,9,3623.2,0.0,1,0,0.800230490005289,0.99,0.0,0.0145055987439509,66.6214836420091,6.68175682785842,0.901129943502825,0.0009782095392295,208.43,0.0506520506520507,0.0043470043470043,0.0001890001890001,0,5291.0,0,SUA
10,10,5051.5,0.0,0,0,1.07791394864254,0.99,0.0,0.0267660880322182,88.1917125547785,7.92821650022015,0.983228511530398,0.0001016156894624,98.89,0.0479865300968149,0.0025256068472007,0.0,0,7127.0,0,SUA
11,11,3214.9,0.9,0,0,57.5063386129807,0.99,0.0065654336414212,0.10622203560371,451.279844489263,5.86296692162974,0.997333333333333,0.0256410256410256,70.98,0.048663547444526,0.0035715882521572,3.15604263813604e-05,0,380223.0,0,MUA
12,12,3766.2,7.9,0,0,1.02165128708859,0.99,0.108621583721962,0.0585478695250195,71.2959786158768,5.51501022495362,0.982102908277405,0.000372212634927,114.32,0.0679496669133975,0.0062176165803108,0.0,0,6755.0,0,SUA
13,13,3013.9,100.0,1,1,0.0117970096806676,0.37,0.0,0.5,67.7333813614214,7.64964149815893,0.0,3.33366670000333e-05,0.0,0.0384615384615385,0.0,0.0,0,78.0,1,noise
14,14,2857.8,100.0,1,1,0.0003024874277094,0.02,0.0,0.5,53.9260317437859,11.929930839344,0.707762557077626,0.0,0.0,0.5,0.0,0.0,0,2.0,1,noise
15,15,3774.5,100.0,1,1,0.0001512437138547,0.01,0.0,0.0,53.9260317437859,12.7543472430192,0.707762557077626,0.0,0.0,0.0,0.0,0.0,0,1.0,1,noise
16,16,1911.8,0.0,1,0,0.999115973724237,0.48,0.0,0.5,91.288157110342,6.08813373645652,0.993197278911565,0.0001691532189857,42.38,0.0431425976385104,0.0025734181047532,0.0001513775355737,0,6606.0,0,MUA
17,17,2733.9,100.0,1,1,0.0003024874277094,0.02,0.0,0.5,53.9260317437859,12.4204706104006,0.707762557077626,0.0,0.0,0.5,0.5,0.0,0,2.0,1,noise
18,18,1736.0,100.0,1,1,0.0012099497108377,0.08,0.0,0.5,252967030963072.0,6.40528001829092,0.707762557077626,0.0,0.0,0.0,0.0,0.0,0,8.0,1,noise
19,19,2371.8,100.0,1,0,0.0003024874277094,0.02,0.0,0.5,53.9260317437859,5.17082734666672,0.707762557077626,0.0,0.0,0.0,0.0,0.0,0,2.0,1,noise
20,20,2473.2,100.0,1,0,0.0145193965300525,0.57,0.0,0.5,115.151420946319,8.81930255579801,0.333333333333333,6.66800026672001e-05,0.0,0.104166666666667,0.0,0.0,0,96.0,1,noise
21,21,1724.0,100.0,0,0,0.0046885551294961,0.22,0.0,0.5,16626141743819.7,5.47784174380915,0.707762557077626,0.0,0.0,0.129032258064516,0.032258064516129,0.0,0,31.0,1,noise
22,22,2284.1,100.0,0,0,0.0196616828011127,0.57,0.0,0.5,47.9093383219165,4.00500506569404,0.0,3.33400013336001e-05,0.0,0.0923076923076923,0.0153846153846154,0.0,0,130.0,1,noise
23,23,5034.2,0.0,0,1,0.0246527253583183,0.09,0.0,0.280061258779353,112.189254462188,9.78420376979726,0.913978494623656,0.0004346808439495,2.59,0.0797546012269939,0.0061349693251533,0.0,0,163.0,1,noise
24,24,4632.8,0.0,1,1,0.0025711431355301,0.05,0.0,0.5,1149666003912290.0,10.57940914164,0.444444444444444,0.0003000900270081,0.0,0.0,0.0,0.0,0,17.0,1,noise
25,25,4289.1,0.0,0,1,0.0021174119939659,0.05,0.0,0.0184844658579354,623507954126897.0,10.7322503283902,0.0,0.000166700006668,0.0,0.142857142857143,0.0,0.0,0,14.0,1,noise
26,26,2391.3,2.2,0,0,2.22600498051367,0.99,0.0228806964822466,0.0384374997556905,142.48479653104,7.95279096323551,1.0,0.0,225.31,0.0579562440548988,0.0050278570457942,6.79440141323549e-05,0,14718.0,0,SUA
27,27,2267.7,0.0,0,0,1.11164129683214,0.96,0.0,0.5,143.273594216855,8.05880123450686,0.999333333333333,0.0001299545159194,180.01,0.0621768707482993,0.0057142857142857,0.0001360544217687,0,7350.0,0,MUA
28,28,2003.0,100.0,1,1,0.0009074622831282,0.05,0.0,0.5,130437928063998.0,4.93602066922673,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,1,noise
29,29,6495.3,2.5,0,0,2.03906775018925,0.99,0.0272683080579264,0.0014561105093042,128.360425854621,11.0337661381789,0.998666666666667,0.0,37.42,0.0474707016763092,0.0034119566829847,7.4172971369233e-05,0,13482.0,0,SUA
30,30,1550.4,1.1,0,0,15.1031972655317,0.99,0.0059644947140088,0.5,500.933243795903,7.09747496149494,1.0,0.0052576235541535,119.61,0.051862607650711,0.004416182655718,4.00560785099139e-05,0,99860.0,0,MUA
31,31,1513.0,9.5,0,0,6.11402713257679,0.99,0.0591427332734828,0.297369524188078,121.846094229586,5.78244070072789,0.995333333333333,0.0057294863924698,126.52,0.0553370439084725,0.0045269016697588,4.94743351886209e-05,0,40425.0,0,MUA
32,32,2927.9,0.0,0,1,0.0656397718129456,0.73,0.0,0.302143324237138,36.1493239667545,6.88773876358347,0.179487179487179,0.0013033888109083,2.16,0.032258064516129,0.0,0.0,0,434.0,1,noise
33,33,3080.7,0.0,0,0,0.699350932864195,0.99,0.0,0.5,72.1114872379507,5.29026589492049,0.97508896797153,0.0001371883252735,201.16,0.0564446366782007,0.0038927335640138,0.000432525951557,0,4624.0,0,MUA
34,34,2522.2,100.0,1,1,0.0101333288282658,0.41,552.06121416493,0.5,52.5860558175671,5.50503695959298,0.277777777777778,0.0001334133813621,0.0,0.104477611940299,0.0298507462686567,0.0,0,67.0,1,noise
